timestamp_ms,A1,A2,A3,x_calc,y_calc,error,x_real,y_real
2162300,2.54,1.23,3.14,2.2782553956834533,0.9319999999999999,0.2864438256045243,2.0,1.0
2162320,2.54,1.22,3.14,2.2826618705035973,0.9319999999999999,0.29072621663102965,2.0,1.0
2162330,2.53,1.22,3.14,2.273543165467626,0.9235499999999998,0.284025466946274,2.0,1.0
2162450,2.53,1.22,3.15,2.273543165467626,0.9130666666666666,0.2870248557503225,2.0,1.0
2162470,2.53,1.22,3.15,2.273543165467626,0.9130666666666666,0.2870248557503225,2.0,1.0
2162480,2.51,1.22,3.15,2.255413669064748,0.8962666666666665,0.2756750746613866,2.0,1.0
2162600,2.51,1.22,3.16,2.255413669064748,0.8857499999999995,0.2798020815596566,2.0,1.0
2162620,2.51,1.22,3.16,2.255413669064748,0.8857499999999995,0.2798020815596566,2.0,1.0
2162630,2.51,1.22,3.16,2.255413669064748,0.8857499999999995,0.2798020815596566,2.0,1.0
2162750,2.51,1.22,3.12,2.255413669064748,0.9276166666666663,0.265472200596524,2.0,1.0
2162770,2.51,1.22,3.12,2.255413669064748,0.9276166666666663,0.265472200596524,2.0,1.0
2162780,2.53,1.22,3.12,2.273543165467626,0.9444166666666663,0.2791332483214664,2.0,1.0
2162900,2.53,1.22,3.13,2.273543165467626,0.9339999999999999,0.2813927208974123,2.0,1.0
2162920,2.53,1.22,3.13,2.273543165467626,0.9339999999999999,0.2813927208974123,2.0,1.0
2162930,2.51,1.22,3.13,2.255413669064748,0.9171999999999999,0.2684995015733113,2.0,1.0
2163050,2.51,1.22,3.14,2.255413669064748,0.9067499999999997,0.27190385220720326,2.0,1.0
2163070,2.51,1.24,3.14,2.2465647482014384,0.9067499999999997,0.2636090619755678,2.0,1.0
2163080,2.52,1.24,3.14,2.255611510791367,0.9151333333333334,0.269331757429673,2.0,1.0
2163200,2.52,1.24,3.13,2.255611510791367,0.9255833333333335,0.26622374936662374,2.0,1.0
2163220,2.52,1.22,3.13,2.264460431654676,0.9255833333333335,0.2747310688450714,2.0,1.0
2163230,2.53,1.22,3.13,2.273543165467626,0.9339999999999999,0.2813927208974123,2.0,1.0
2163350,2.53,1.22,3.15,2.273543165467626,0.9130666666666666,0.2870248557503225,2.0,1.0
2163370,2.53,1.23,3.15,2.269136690647482,0.9130666666666666,0.28282850403932563,2.0,1.0
2163380,2.56,1.23,3.15,2.29660071942446,0.9385166666666668,0.30290623473425754,2.0,1.0
2163500,2.56,1.23,3.12,2.29660071942446,0.9698666666666665,0.29812749712310194,2.0,1.0
2163520,2.56,1.24,3.12,2.292158273381295,0.9698666666666665,0.293708145074183,2.0,1.0
2163530,2.55,1.24,3.12,2.28296762589928,0.9613499999999997,0.2855949926155481,2.0,1.0
2163650,2.55,1.24,3.14,2.28296762589928,0.9404833333333331,0.28915897170619853,2.0,1.0
2163670,2.55,1.22,3.14,2.2918165467625897,0.9404833333333331,0.29782399261233783,2.0,1.0
2163680,2.53,1.22,3.14,2.273543165467626,0.9235499999999998,0.284025466946274,2.0,1.0
2163800,2.53,1.22,3.17,2.273543165467626,0.8919999999999999,0.29409159011105535,2.0,1.0
2163820,2.53,1.24,3.17,2.2646942446043163,0.8919999999999999,0.28587942060709737,2.0,1.0
2163830,2.52,1.24,3.17,2.255611510791367,0.8835833333333334,0.28087378789560075,2.0,1.0
2163950,2.52,1.24,3.14,2.255611510791367,0.9151333333333334,0.269331757429673,2.0,1.0
2163970,2.52,1.24,3.14,2.255611510791367,0.9151333333333334,0.269331757429673,2.0,1.0
2163980,2.56,1.24,3.14,2.292158273381295,0.949,0.2965762241062819,2.0,1.0
2164100,2.56,1.24,3.15,2.292158273381295,0.9385166666666668,0.2985576275745058,2.0,1.0
2164120,2.56,1.24,3.15,2.292158273381295,0.9385166666666668,0.2985576275745058,2.0,1.0
2164130,2.52,1.24,3.15,2.255611510791367,0.9046500000000002,0.27281654449289744,2.0,1.0
2164250,2.52,1.24,3.15,2.255611510791367,0.9046500000000002,0.27281654449289744,2.0,1.0
2164270,2.52,1.24,3.15,2.255611510791367,0.9046500000000002,0.27281654449289744,2.0,1.0
2164280,2.51,1.24,3.15,2.2465647482014384,0.8962666666666665,0.26749725138790337,2.0,1.0
2164400,2.51,1.24,3.15,2.2465647482014384,0.8962666666666665,0.26749725138790337,2.0,1.0
2164420,2.51,1.23,3.15,2.251007194244604,0.8962666666666665,0.27159752577479934,2.0,1.0
2164430,2.54,1.23,3.15,2.2782553956834533,0.9215166666666668,0.2891119140368764,2.0,1.0
2164550,2.54,1.23,3.13,2.2782553956834533,0.9424500000000001,0.28414444869987365,2.0,1.0
2164570,2.54,1.23,3.13,2.2782553956834533,0.9424500000000001,0.28414444869987365,2.0,1.0
2164580,2.53,1.23,3.13,2.269136690647482,0.9339999999999999,0.2771110937019274,2.0,1.0
2164700,2.53,1.23,3.12,2.269136690647482,0.9444166666666663,0.27481642090152264,2.0,1.0
2164720,2.53,1.24,3.12,2.2646942446043163,0.9444166666666663,0.27046728096221573,2.0,1.0
2164730,2.53,1.24,3.12,2.2646942446043163,0.9444166666666663,0.27046728096221573,2.0,1.0
2164850,2.53,1.24,3.17,2.2646942446043163,0.8919999999999999,0.28587942060709737,2.0,1.0
2164870,2.53,1.22,3.17,2.273543165467626,0.8919999999999999,0.29409159011105535,2.0,1.0
2164880,2.55,1.22,3.17,2.2918165467625897,0.9089333333333333,0.3056959841774512,2.0,1.0
2165150,2.55,1.22,3.13,2.2918165467625897,0.9509333333333334,0.29591288370434377,2.0,1.0
2165170,2.55,1.26,3.13,2.2739748201438847,0.9509333333333334,0.27833386400266097,2.0,1.0
2165180,2.55,1.26,3.13,2.2739748201438847,0.9509333333333334,0.27833386400266097,2.0,1.0
2165450,2.55,1.26,3.13,2.2739748201438847,0.9509333333333334,0.27833386400266097,2.0,1.0
2165470,2.55,1.23,3.13,2.287410071942446,0.9509333333333334,0.29156832343678873,2.0,1.0
2165480,2.52,1.23,3.13,2.2600539568345326,0.9255833333333335,0.2704919605886184,2.0,1.0
2165600,2.52,1.23,3.12,2.2600539568345326,0.9359999999999999,0.2678134807385486,2.0,1.0
2165620,2.52,1.25,3.12,2.25113309352518,0.9359999999999999,0.25915985542426656,2.0,1.0
2165630,2.55,1.25,3.12,2.2784892086330935,0.9613499999999997,0.2811584283372751,2.0,1.0
2165750,2.55,1.25,3.13,2.2784892086330935,0.9509333333333334,0.2827786715840932,2.0,1.0
2165770,2.55,1.21,3.13,2.296187050359712,0.9509333333333334,0.3002237608494112,2.0,1.0
2165780,2.53,1.21,3.13,2.2779136690647483,0.9339999999999999,0.2856431470437029,2.0,1.0
2165900,2.53,1.21,3.12,2.2779136690647483,0.9444166666666663,0.2834175619072942,2.0,1.0
2165920,2.53,1.23,3.12,2.269136690647482,0.9444166666666663,0.27481642090152264,2.0,1.0
2165930,2.54,1.23,3.12,2.2782553956834533,0.9528666666666665,0.28221909279505925,2.0,1.0
2166050,2.54,1.23,3.14,2.2782553956834533,0.9319999999999999,0.2864438256045243,2.0,1.0
2166070,2.54,1.22,3.14,2.2826618705035973,0.9319999999999999,0.29072621663102965,2.0,1.0
2166080,2.52,1.22,3.14,2.264460431654676,0.9151333333333334,0.2777438946621307,2.0,1.0
2166200,2.52,1.22,3.17,2.264460431654676,0.8835833333333334,0.28895009982478875,2.0,1.0
2166220,2.52,1.24,3.17,2.255611510791367,0.8835833333333334,0.28087378789560075,2.0,1.0
2166230,2.56,1.24,3.17,2.292158273381295,0.9174500000000001,0.3035967048654177,2.0,1.0
2166350,2.56,1.24,3.12,2.292158273381295,0.9698666666666665,0.293708145074183,2.0,1.0
2166370,2.56,1.23,3.12,2.29660071942446,0.9698666666666665,0.29812749712310194,2.0,1.0
2166380,2.55,1.23,3.12,2.287410071942446,0.9613499999999997,0.28999719301048776,2.0,1.0
2166500,2.55,1.23,3.13,2.287410071942446,0.9509333333333334,0.29156832343678873,2.0,1.0
2166520,2.55,1.23,3.13,2.287410071942446,0.9509333333333334,0.29156832343678873,2.0,1.0
2166530,2.57,1.23,3.13,2.3058273381294963,0.968,0.30749692802916456,2.0,1.0
2166650,2.57,1.23,3.17,2.3058273381294963,0.9259999999999998,0.3146527621797928,2.0,1.0
2166670,2.57,1.23,3.17,2.3058273381294963,0.9259999999999998,0.3146527621797928,2.0,1.0
2166680,2.54,1.23,3.17,2.2782553956834533,0.90045,0.29552710151009015,2.0,1.0
2166800,2.54,1.23,3.11,2.2782553956834533,0.9632500000000002,0.2806717437273569,2.0,1.0
2166820,2.54,1.23,3.11,2.2782553956834533,0.9632500000000002,0.2806717437273569,2.0,1.0
2166830,2.52,1.23,3.11,2.2600539568345326,0.9463833333333336,0.2655236475527959,2.0,1.0
2166950,2.52,1.23,3.13,2.2600539568345326,0.9255833333333335,0.2704919605886184,2.0,1.0
2166970,2.52,1.26,3.13,2.246618705035971,0.9255833333333335,0.2576016808007997,2.0,1.0
