timestamp_ms,A1,A2,A3,x_calc,y_calc,error,x_real,y_real,x_ekf,y_ekf,error_ekf
2473870,2.44,2.86,1.55,0.9896402877697842,2.09185,0.0924323868429939,1.0,2.0,0.9859599319150909,2.0872161240156473,0.08833898233589543
2473880,2.45,2.86,1.55,0.9984352517985616,2.1,0.1000122414354059,1.0,2.0,0.9865158063389144,2.087746036997472,0.08877606933994858
2474000,2.45,2.86,1.52,0.9984352517985616,2.1153500000000003,0.1153606125891067,1.0,2.0,0.987053363567942,2.088866581579616,0.08980470319838722
2474020,2.45,2.87,1.52,0.9881294964028776,2.1153500000000003,0.1159591796954831,1.0,2.0,0.987165083192042,2.0899509630344038,0.0908620429017743
2474030,2.43,2.87,1.52,0.9705755395683452,2.099083333333333,0.1033600784449123,1.0,2.0,0.9865775902451082,2.090356162700895,0.09134767222901084
2474150,2.43,2.87,1.54,0.9705755395683452,2.088883333333333,0.0936271638796053,1.0,2.0,0.986008401283868,2.0903441306638335,0.09142115061645795
2474170,2.43,2.84,1.54,1.0013848920863309,2.088883333333333,0.0888941216871804,1.0,2.0,0.9866769322222639,2.090332122355392,0.09130934488999295
2474450,2.43,2.84,1.54,1.0013848920863309,2.088883333333333,0.0888941216871804,1.0,2.0,0.9873235492533684,2.0903201405574023,0.09120537371142498
2474470,2.43,2.85,1.54,0.9911510791366904,2.088883333333333,0.0893227314007446,1.0,2.0,0.9875436893087095,2.0903081879333274,0.09116319698123326
2474480,2.44,2.85,1.54,0.999910071942446,2.097,0.0970000416858443,1.0,2.0,0.9881030620266343,2.0906176643616727,0.0913952855868774
2474600,2.44,2.85,1.54,0.999910071942446,2.097,0.0970000416858443,1.0,2.0,0.9886439441829011,2.0909168642970286,0.09162333882437039
2474620,2.44,2.86,1.54,0.9896402877697842,2.097,0.0975516460009408,1.0,2.0,0.9887602455617759,2.091206101936659,0.09189605601064592
2474630,2.42,2.86,1.54,0.972158273381295,2.0808,0.0854622825643611,1.0,2.0,0.9881799755179649,2.0908442073716444,0.09160995028782763
2474750,2.42,2.86,1.54,0.972158273381295,2.0808,0.0854622825643611,1.0,2.0,0.9876177173629986,2.090493530083967,0.09133673910513997
2474770,2.42,2.86,1.54,0.972158273381295,2.0808,0.0854622825643611,1.0,2.0,0.9870729321222483,2.0901537345769494,0.0910758197442496
2474780,2.44,2.86,1.54,0.9896402877697842,2.097,0.0975516460009408,1.0,2.0,0.987237335689278,2.0904659700185433,0.09136179361037168
2474900,2.44,2.86,1.57,0.9896402877697842,2.08145,0.0821061881802635,1.0,2.0,0.9873959740178921,2.090152130160863,0.09102894069195176
2474920,2.44,2.84,1.57,1.0101438848920865,2.08145,0.0820792355026767,1.0,2.0,0.9883609114108084,2.089848020662971,0.0905987593747325
2474930,2.44,2.84,1.57,1.0101438848920865,2.08145,0.0820792355026767,1.0,2.0,0.9892943906013434,2.0895533504744432,0.09019097878277554
2475050,2.44,2.84,1.52,1.0101438848920865,2.1072,0.1076788670106806,1.0,2.0,0.9901973679578273,2.0902874652227075,0.09081804870892042
2475070,2.44,2.87,1.52,0.9793345323741004,2.1072,0.1091737218940393,1.0,2.0,0.9898508071247974,2.090997752333827,0.0915619847197874
2475080,2.42,2.87,1.52,0.9618525179856112,2.091,0.0986723384948287,1.0,2.0,0.9888224711595136,2.0910434604429042,0.0917270344031604
2475200,2.42,2.87,1.54,0.9618525179856112,2.0808,0.0893525063108926,1.0,2.0,0.9878264963390019,2.0906834536593335,0.09149690136266267
2475220,2.42,2.86,1.54,0.972158273381295,2.0808,0.0854622825643611,1.0,2.0,0.9872699890374907,2.0903346392203908,0.09122719014736651
2475230,2.45,2.86,1.54,0.9984352517985616,2.10515,0.1051616419467379,1.0,2.0,0.9877713296465191,2.090960874028008,0.09177919689424867
2475350,2.45,2.86,1.55,0.9984352517985616,2.1,0.1000122414354059,1.0,2.0,0.9882561233562305,2.0913627833327855,0.09211447669578098
2475370,2.45,2.84,1.55,1.0189388489208635,2.1,0.1017776006714999,1.0,2.0,0.989536760316253,2.0917514548567246,0.09234613610219497
2475380,2.44,2.84,1.55,1.0101438848920865,2.09185,0.0924084460463646,1.0,2.0,0.9904275434339285,2.091804575091799,0.0923022856298535
2475500,2.44,2.84,1.53,1.0101438848920865,2.1021166666666664,0.1026192575095676,1.0,2.0,0.9912891641945731,2.0922621373157178,0.09267243733976929
2475520,2.44,2.89,1.53,0.9586151079136688,2.1021166666666664,0.1101840410590768,1.0,2.0,0.9900821146819901,2.092704635308301,0.09323365195478658
2475530,2.45,2.89,1.53,0.967410071942446,2.110266666666667,0.1149819167894429,1.0,2.0,0.9892613652286716,2.0934552456757327,0.09407019305318524
2475650,2.45,2.89,1.57,0.967410071942446,2.0896,0.0953428728893592,1.0,2.0,0.9884663433654962,2.0933630016135725,0.09407271286435068
2475670,2.45,2.9,1.57,0.956996402877698,2.0896,0.09938545852114,1.0,2.0,0.9872839245231246,2.0932732439906516,0.09413605377363776
2475680,2.45,2.9,1.57,0.956996402877698,2.0896,0.09938545852114,1.0,2.0,0.986138939950477,2.093185902167137,0.09421115299368608
2475800,2.45,2.9,1.56,0.956996402877698,2.0948166666666665,0.1041129657786916,1.0,2.0,0.98503026218994,2.093307472981134,0.09450067494058972
2475820,2.45,2.87,1.56,0.9881294964028776,2.0948166666666665,0.0955568371882779,1.0,2.0,0.9851895807230199,2.093424697635102,0.09459134552045527
2475830,2.42,2.87,1.56,0.9618525179856112,2.0704666666666665,0.080129779078375,1.0,2.0,0.9843030068260348,2.092573519907843,0.0938948996635668
2475950,2.42,2.87,1.51,0.9618525179856112,2.09605,0.103348115048307,1.0,2.0,0.9834445812904135,2.092762223990276,0.09422797932817983
2475970,2.42,2.85,1.51,0.9824280575539566,2.09605,0.0976441276336014,1.0,2.0,0.9834281894467831,2.0929444748119326,0.09441027646966023
2475980,2.44,2.85,1.51,0.999910071942446,2.11225,0.1122500360225132,1.0,2.0,0.9841043756710645,2.0937619461759174,0.0950998076943496
2476100,2.44,2.85,1.53,0.999910071942446,2.1021166666666664,0.1021167062637969,1.0,2.0,0.984758685052647,2.094151525775868,0.09537718536027529
2476120,2.44,2.84,1.53,1.0101438848920865,2.1021166666666664,0.1026192575095676,1.0,2.0,0.9857970114895328,2.09452814753811,0.09558920210784887
2476130,2.44,2.84,1.53,1.0101438848920865,2.1021166666666664,0.1026192575095676,1.0,2.0,0.9868017682848501,2.0948922078403625,0.09580565969307521
2476250,2.44,2.84,1.54,1.0101438848920865,2.097,0.0975289618559732,1.0,2.0,0.9877739733248329,2.0950414855489634,0.09582462994249297
2476270,2.44,2.88,1.54,0.9689928057553956,2.097,0.1018353872429551,1.0,2.0,0.9870851464823707,2.0951854592280466,0.09605761338819499
2476280,2.46,2.88,1.54,0.9866187050359712,2.1133333333333333,0.1141205656284562,1.0,2.0,0.9871159247573607,2.095971048664186,0.09683202763838811
2476400,2.46,2.88,1.55,0.9866187050359712,2.108183333333333,0.1090077642465221,1.0,2.0,0.987145330208415,2.0965269859727838,0.0973791638721584
2476420,2.46,2.85,1.55,1.0175359712230214,2.108183333333333,0.1095953643994381,1.0,2.0,0.9883976454694625,2.0970645220614594,0.09775549127119064
2476430,2.46,2.85,1.55,1.0175359712230214,2.108183333333333,0.1095953643994381,1.0,2.0,0.989609402617818,2.0975842189827247,0.09813584619509316
2476550,2.46,2.85,1.53,1.0175359712230214,2.11845,0.1197410238253146,1.0,2.0,0.9907818321134854,2.098493153386243,0.09892358608112628
2476570,2.46,2.86,1.53,1.0072661870503596,2.11845,0.1186726589162421,1.0,2.0,0.991509473112503,2.099372281225938,0.09973434374815025
2476580,2.46,2.86,1.53,1.0072661870503596,2.11845,0.1186726589162421,1.0,2.0,0.9922131846236548,2.100222510313548,0.10052455454889865
2476700,2.46,2.86,1.54,1.0072661870503596,2.1133333333333333,0.1135660244910213,1.0,2.0,0.9928936961050494,2.1008421157610613,0.10109219488276369
2476720,2.46,2.89,1.54,0.9762410071942444,2.1133333333333333,0.1157969523933526,1.0,2.0,0.9923232048533895,2.1014410576375173,0.10173112285992489
2476730,2.45,2.89,1.54,0.967410071942446,2.10515,0.110084630674752,1.0,2.0,0.9914206391594192,2.1016959314049903,0.10205717954539696
2477000,2.45,2.89,1.54,0.967410071942446,2.10515,0.110084630674752,1.0,2.0,0.9905463715833062,2.101941783311657,0.10237918868110714
